Minor,Year,Link,Requirements
East Asian Studies Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-East-Asian-Studies-Minor.html,"{'1.': 'EASIA 100R', '2. two language courses (1.0 unit)  from CHINA, JAPAN, KOREA': [], '3. two additional EASIA courses (1.0 unit) (see Note)': [], '4. three courses (1.5 units) from the following:': ['any EASIA, CHINA, JAPAN, KOREA\xa0course(s) (see Note)', 'ANTH 382/EASIA 382R', 'GEOG 215', 'HIST 239', 'PSCI 259, PSCI 358, PSCI 405,\xa0PSCI 479,\xa0PSCI 480', 'RS 100, RS 204, RS 301/GSJ 301,\xa0RS 307']}"
Economic Theory Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Economic-Theory-Minor.html,"{'1.': 'ECON 101, ECON 102, ECON 211, ECON 221,\xa0ECON 290, ECON 391, ECON 392,\xa0ECON 393'}"
Economic Theory Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Economic-Theory-Minor.html,"{'1.': 'ECON 101, ECON 102, ECON 211, ECON 221,\xa0ECON 290, ECON 391, ECON 392,\xa0ECON 393'}"
Economics Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Economics-Minor.html,"{'1.': 'ECON 101, ECON 102, ECON 201', '2.': 'one of ECON 206, ECON 207', '3. four additional ECON courses at the 200-level or above': []}"
Economics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Economics-Minor.html,"{'1.': 'ECON 101, ECON 102, ECON 201', '2.': 'one of ECON 206, ECON 207', '3. four additional ECON courses at the 200-level or above': []}"
Economics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Economics-Minor.html,"{'1. One of': ['ECON 101 Microeconomics', 'ECON 102 Macroeconomics', 'ECON 201'], '2. One of': ['ECON 206', 'ECON 207'], '3. four additional ECON courses at the 200-level or above': []}"
English Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-English-Minor.html,"{'1. no more than two ENGL courses at the 100-level': ['Advanced Introduction to Literature: two of\xa0ENGL 200A, ENGL 200B, ENGL 200C', 'Criticism:\xa0ENGL 251'], '2. three additional\xa0ENGL courses, one of which must be at the 300-level or above': []}"
English Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-English-Minor.html,"{'1. no more than two ENGL courses at the 100-level': ['Advanced Introduction to Literature: two of ENGL 200A, ENGL 200B, ENGL 200C', 'Criticism: ENGL 251'], '2. three additional ENGL courses, one of which must be at the 300-level or above': []}"
Entrepreneurship Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENG-Entrepreneurship-Minor-1.html,"{'1.': 'BET 100', '2.': 'BET 320', '3.': 'BET 340'}"
Entrepreneurship Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENG-Entrepreneurship-Minor-1.html,"{'1.': 'BET 100\xa0Foundations of Entrepreneurial Practice', '2.': 'BET 320\xa0Entrepreneurial Strategy', '3.': 'BET 340\xa0Essentials of Entrepreneurial Planning and Execution'}"
Entrepreneurship Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENG-Entrepreneurship-Option.html,"{'1.': 'BET 100', '2.': 'BET 320', '3.': 'BET 340'}"
Entrepreneurship Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENG-Entrepreneurship-Option.html,"{'1.': 'BET 100\xa0Foundations of Entrepreneurial Practice', '2.': 'BET 320\xa0Entrepreneurial Strategy', '3.': 'BET 340\xa0Essentials of Entrepreneurial Planning and Execution'}"
Environment Resources and Sustainability Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENV-Environment-Resources-Sustainability-Minor.html,"{'1. 5.0 units of ERS and ENVS courses, with a maximum 2.0 units of ENVS courses': []}"
Environment Resources and Sustainability Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENV-Environment-Resources-Sustainability-Minor.html,{'1. 5.0 units: ERS and ENVS courses': []}
Environmental Engineering Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENG-Environmental-Engineering-Option.html,"{'1.': 'Take two from List A: Environmental Issues and Management', '2.': 'ENVE 391', '3.': 'Law and Ethics for Environmental and Geological Engineers', '4.': 'ERS 215', '5.': 'Environmental and Sustainability Assessment 1', '6.': 'ERS 270', '7.': 'Introduction to Sustainable Agroecosystems', '8.': 'ERS 315', '9.': 'Environmental and Sustainability Assessment 2', '10.': 'ERS 370', '11.': 'Corporate Sustainability: Issues and Prospects', '12.': 'ERS 372', '13.': 'First Nations and the Environment', '14.': 'ERS 404', '15.': 'Global Environmental Governance', '16.': 'Take at least one from List B: Environmental Chemistry and Biology', '17.': 'BIOL 150', '18.': 'Organismal and Evolutionary Ecology', '19.': 'BIOL 240', '20.': 'Fundamentals of Microbiology', '21.': 'BIOL 354', '22.': 'Environmental Toxicology 1', '23.': 'BIOL 383', '24.': 'Tropical Ecosystems', '25.': 'EARTH 221', '26.': 'Introductory Geochemistry', '27.': 'ENVE 275', '28.': 'Environmental Chemistry', '29.': 'ENVS 200', '30.': 'Field Ecology', '31.': 'HLTH 420', '32.': 'Health, Environment, and Planning', '33.': 'Take at least two from List C - Environmental and Energy Processes', '34.': 'CHE 571', '35.': 'Industrial Ecology', '36.': 'CHE 572', '37.': 'Air Pollution Control', '38.': 'CHE 574', '39.': 'Industrial Wastewater Pollution Control', '40.': 'ENVE 375', '41.': 'Physico-Chemical Processes (or CIVE 375 Environmental Engineering Principles)', '42.': 'ENVE 376', '43.': 'Biological Processes', '44.': 'ENVE 577', '45.': 'Engineering for Solid Waste Management', '46.': 'ME 452', '47.': 'Energy Transfer in Buildings', '48.': 'ME 459', '49.': 'Energy Conversion', '50.': 'Take at least one from List D: Transport, Modelling, and Decision Analysis', '51.': 'CIVE 230', '52.': 'Engineering and Sustainable Development', '53.': 'EARTH 456', '54.': 'Numerical Methods in Hydrogeology', '55.': 'EARTH 458', '56.': 'Physical Hydrogeology', '57.': 'ENVE 335', '58.': 'Decision Making for Environmental Engineers', '59.': 'ENVE 573', '60.': 'Contaminant Transport', '61.': 'ME 571', '62.': 'Air Pollution', '63.': 'MSCI 452', '64.': 'Decision Making Under Uncertainty', '65.': 'SYDE 532', '66.': 'Introduction to Complex Systems', '67.': 'SYDE 533', '68.': 'Conflict Resolution', '69. Plus one additional course from List B, C, or D above, to total seven courses.': []}"
Environmental Engineering Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENG-Environmental-Engineering-Option.html,"{'1.': 'Take two from List A: Environmental Issues and Management', '2.': 'ENVE 391/GEOE 391 Law and Ethics for Environmental and Geological Engineers', '3.': 'ERS 215', '4.': 'Environmental and Sustainability Assessment 1', '5.': 'ERS 270', '6.': 'Introduction to Sustainable Agroecosystems', '7.': 'ERS 315', '8.': 'Environmental and Sustainability Assessment 2', '9.': 'ERS 370', '10.': 'Corporate Sustainability: Issues and Prospects', '11.': 'ERS 372', '12.': 'First Nations and the Environment', '13.': 'ERS 404/PSCI 432 Global Environmental Governance', '14.': 'Take at least one from List B: Environmental Chemistry and Biology', '15.': 'BIOL 150', '16.': 'Organismal and Evolutionary Ecology', '17.': 'BIOL 240', '18.': 'Fundamentals of Microbiology', '19.': 'BIOL 354', '20.': 'Environmental Toxicology 1', '21.': 'BIOL 383/ERS 383 Tropical Ecosystems', '22.': 'EARTH 221', '23.': 'Introductory Geochemistry', '24.': 'ENVE 275', '25.': 'Environmental Chemistry', '26.': 'ENVS 200', '27.': 'Field Ecology', '28.': 'GEOG 432/HLTH 420/PLAN 432 Health, Environment, and Planning', '29.': 'Take at least two from List C: Environmental and Energy Processes', '30.': 'CHE 571', '31.': 'Industrial Ecology', '32.': 'CHE 572', '33.': 'Air Pollution Control', '34.': 'CHE 574', '35.': 'Industrial Wastewater Pollution Control', '36.': 'ENVE 375', '37.': 'Physico-Chemical Processes (or CIVE 375 Environmental Engineering Principles)', '38.': 'ENVE 376', '39.': 'Biological Processes', '40.': 'ENVE 577', '41.': 'Engineering for Solid Waste Management', '42.': 'ME 452 HVAC Load Analysis and Design Fundamentals', '43.': 'ME 459', '44.': 'Energy Conversion', '45.': 'Take at least one from List D: Transport, Modelling, and Decision Analysis', '46.': 'CIVE 230', '47.': 'Engineering and Sustainable Development', '48.': 'EARTH 456', '49.': 'Numerical Methods in Hydrogeology', '50.': 'EARTH 458', '51.': 'Physical Hydrogeology', '52.': 'ENVE 335', '53.': 'Decision Making for Environmental Engineers', '54.': 'ENVE 573', '55.': 'Contaminant Transport', '56.': 'ME 571', '57.': 'Air Pollution', '58.': 'MSCI 452', '59.': 'Decision Making Under Uncertainty', '60.': 'SYDE 532', '61.': 'Introduction to Complex Systems', '62.': 'SYDE 533', '63.': 'Conflict Resolution', '64. Plus one additional course from List B, C, or D above, to total seven courses.': []}"
Ergonomics and Injury Prevention Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Ergonomics-and-Injury-Prevention-Minor1.html,"{'1. Required courses\xa0(1.5 units): KIN 221, KIN 320, KIN 420': [], '2. Elective courses List A (0.5 unit): KIN 326, KIN 327, KIN 427, KIN 428': [], '3. Elective courses List B (3.0 units): KIN 326, KIN 327, KIN 340, KIN 403, KIN 427, KIN 428, KIN 431, KIN 432, KIN 433 or KIN 472, HLTH 340, HLTH 350, HRM 200, MSCI 211, STV 202, STV 302, SYDE 542, SYDE 543, SYDE 548': []}"
Ergonomics and Injury Prevention Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Ergonomics-and-Injury-Prevention-Minor1.html,"{'1. Required courses\xa0(1.5 units): KIN 221, KIN 320, KIN 420': [], '2. Elective courses List A (0.5 unit): KIN 326, KIN 327, KIN 427, KIN 428': [], '3. Elective courses List B (3.0 units): KIN 326, KIN 327, KIN 340, KIN 403, KIN 427, KIN 428, KIN 431, KIN 432, KIN 433 or KIN 472, HLTH 340, HLTH 350, HRM 200, MSCI 211, STV 202, STV 302, SYDE 542, SYDE 543, SYDE 548': []}"
Event Management Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Event-Management-Minor1.html,"{'1. Required courses (2.0 units): REC 215, REC 219, REC 319, REC 419': [], '2. Elective courses (2.0 units): AFM 123, ENGL 210F, ENGL 210G, ENGL 295, ENVS 105, HRM 200, PACS 202, PHIL 215, PSCI 100, PSCI 231,  PSYCH 340, REC 218, REC 356, SPCOM 204, SPCOM 223, SPCOM 325, SPCOM 433; PSYCH 238 or MSCI 211': []}"
Event Management Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Event-Management-Minor1.html,"{'1. Required courses (2.0 units): REC 215, REC 219, REC 319, REC 419': [], '2. Elective courses (2.0 units): AFM 123/ARBUS 102, ARBUS 202/PHIL 215, COMMST 204, COMMST 223, COMMST 325, COMMST 433, ENGL 210F, ENGL 210G, ENGL 295, ENVS 105, HRM 200, LS 271/PACS 202, PSCI 100, PSCI 231,  PSYCH 340, REC 218, REC 356; PSYCH 238 or MSCI 211': []}"
Fine Arts Studio Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Fine-Arts-Studio-Minor.html,"{'1.': 'FINE 100, FINE 101/VCULT 101', '2.': 'one additional Art History or VCULT course from: FINE 112, FINE 209, FINE 216/INDG 216, FINE 257, FINE 293, VCULT 100/FINE 102, VCULT 200', '3. at least five FINE studio courses from:\xa0FINE 130, FINE 202, FINE 204, FINE 220, FINE 221, FINE 222, FINE 223, FINE 224, FINE 225, FINE 226, FINE 227, FINE 228, FINE 230, FINE 231, FINE 232, FINE 246, FINE 247, FINE 271, FINE 272, FINE 293': []}"
Fine Arts Studio Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Fine-Arts-Studio-Minor.html,"{'1.': 'FINE 100, FINE 101/VCULT 101', '2.': 'one additional Art History or VCULT course from: FINE 112, FINE 209, FINE 216/INDG 216, FINE 257, FINE 293, VCULT 100/FINE 102, VCULT 200', '3. at least five FINE studio courses from:\xa0FINE 130, FINE 202, FINE 204, FINE 220, FINE 221, FINE 222, FINE 223, FINE 224, FINE 225, FINE 226, FINE 227, FINE 228, FINE 230, FINE 231, FINE 232, FINE 246, FINE 247, FINE 271, FINE 272, FINE 293': []}"
French Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-French-Minor.html,"{'1.': 'FR 276, FR 296, FR 297'}"
French Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-French-Minor.html,"{'1.': 'FR 276, FR 296, FR 297'}"
Gender and Social Justice Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Gender-and-Social-Justice-Minor.html,{'1. Students enrolled in any degree program may pursue a minor designation in Gender and Social Justice. The Gender and Social Justice Minor requires\xa0successful completion of a minimum of\xa0four academic course units (eight courses) in\xa0GSJ with a minimum cumulative minor average of 65%.': []}
Gender and Social Justice Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Gender-and-Social-Justice-Minor.html,{'1. Students enrolled in any degree program may pursue a minor designation in Gender and Social Justice. The Gender and Social Justice Minor requires\xa0successful completion of a minimum of\xa0four academic course units (eight courses) in\xa0GSJ with a minimum cumulative minor average of 65%.': []}
Geography and Environmental Management Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENV-Geography-Environmental-Management-Minor.html,"{'1. 5.0 units of GEOG and ENVS courses, with a maximum 2.0 units of ENVS courses': []}"
Geography and Environmental Management Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENV-Geography-Environmental-Management-Minor.html,{'1. 5.0 units: GEOG and ENVS courses': []}
German Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-German-Minor.html,"{'1. at least six GER courses taught in German:\xa0GER 101, GER 102, GER 201, GER 202, GER 211, GER 250, GER 303, GER 304, GER 307, GER 308, GER 331, GER 350, GER 407,\xa0GER 431': [], '2. two\xa0GER courses taught in German or English, or German approved courses (see Note 1)': []}"
German Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-German-Minor.html,"{'1. at least six GER courses taught in German:\xa0GER 101, GER 102, GER 201, GER 202, GER 211, GER 250, GER 303, GER 304, GER 307, GER 308, GER 331, GER 350, GER 407,\xa0GER 431': [], '2. two\xa0GER courses taught in German or English, or German approved courses (see Note 1)': []}"
Gerontology Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Gerontology-Minor1.html,"{'1. A minimum cumulative minor average of 67% is required for courses presented for the Minor.': [], '2. Successful completion of 5.0 units from the following requirements:': [], '3. Required courses (1.0 unit):': ['GERON 201/HLTH 201', 'GERON 400/HLTH 400'], '4. Restricted elective courses (4.0 units):': ['GERON 218/HLTH 218/PSYCH 218, GERON 245/HLTH 245, GERON 310/HLTH 310/KIN 310, GERON 320/HLTH 320, GERON 352/HLTH 352/KIN 352/REC 362/SOC 352, GERON 355/BIOL 355, GERON 401A and GERON 401B', 'HLTH 253/SOC 253, HLTH 380, HLTH 407/KIN 407, HLTH 420/GEOG 432/PLAN 432, HLTH 427, HLTH 430, HLTH 451', 'KIN 342, KIN 343, KIN 359,  KIN 406, KIN 418, KIN 422, KIN 429', 'PHIL 226, PHIL 319J, PHIL 321J', 'PSYCH 398', 'REC 361', 'RS 266', 'SDS 367R', 'SOC 248', 'SOCWK 240R', 'A statistics course (0.5 unit) from: HLTH 204, ARTS 280, KIN 232, PSYCH 292, REC 371, SDS 250R, SOC 280, STAT 202, STAT 221, STAT 231']}"
Gerontology Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Gerontology-Minor1.html,"{'1. Required courses (1.0 unit):': ['GERON 201/HLTH 201', 'GERON 400/HLTH 400'], '2. Restricted elective courses (4.0 units):': ['GERON 218/HLTH 218/PSYCH 218, GERON 245/HLTH 245, GERON 310/HLTH 310/KIN 310, GERON 320/HLTH 320, GERON 352/HLTH 352/KIN 352/REC 362/SOC 352, GERON 355/BIOL 355, GERON 401A and GERON 401B', 'HLTH 253/SOC 253, HLTH 380/GSJ 380, HLTH 420/GEOG 432/PLAN 432, HLTH 427, HLTH 430, HLTH 451', 'KIN 342, KIN 343, KIN 359,  KIN 406, KIN 407, KIN 418, KIN 422, KIN 429', 'PHIL 226, PHIL 319J, PHIL 321J', 'PSYCH 398', 'REC 361', 'RS 266, RS 387', 'SDS 367R', 'SOC 248', 'SOCWK 240R', 'A statistics course (0.5 unit) from: HLTH 204, ARTS 280, KIN 232, PSYCH 292, REC 371, SDS 250R/SWREN 250R, SOC 280/LS 280, STAT 202, STAT 221, STAT 231']}"
Health Informatics Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Health-Informatics-Option1.html,"{'1.': 'Successful completion of 20.0 units, including the requirements for the Bachelor of Science, Honours Health Sciences degree or the Bachelor of Public Health, Honours degree.', '2. Students are required to complete 3.5 units from the following health informatics clusters:': ['Fundamental computer science (2.0 units):'], '3. One of: CS 115, CS 135': [], '4. One of: CS 116, CS 136': [], '5. One of: CS 230, CS 234': ['CS 338', 'Socioeconomic aspects of health information (0.5 unit):'], '6. One of: STV 100, STV 202, STV 205, STV 302': ['Advanced health informatics (1.0 unit):'], '7. Two of: CS 330, CS 370, CS 436, HLTH 451, HLTH 452, HLTH 453, HLTH 454, HLTH 473 (see Note), MSCI 343': ['The cumulative averages required are the same as for the Bachelor of Science, Honours Health Sciences. Refer to the Academic Standing page.']}"
Health Informatics Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Health-Informatics-Option1.html,"{'1.': 'Successful completion of 20.0 units, including the requirements for the Bachelor of Science, Honours Health Sciences degree or the Bachelor of Public Health, Honours degree.', '2. Students are required to complete 3.5 units from the following health informatics clusters:': ['Fundamental computer science (2.0 units):'], '3. One of: CS 115, CS 135': [], '4. One of: CS 116, CS 136': [], '5. One of: CS 230, CS 234': ['CS 338', 'Socioeconomic aspects of health information (0.5 unit):'], '6. One of: STV 100, STV 202, STV 205, STV 302': ['Advanced health informatics (1.0 unit):'], '7. Two of: CS 330, CS 370, CS 436, HLTH 451, HLTH 452, HLTH 453, HLTH 454, HLTH 473 (see Note), MSCI 343': ['The cumulative averages required are the same as for the Bachelor of Science, Honours Health Sciences. Refer to the Academic Standing page.']}"
History Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-History-Minor.html,{'1. two HIST courses numbered above HIST 250': []}
History Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-History-Minor.html,{'1. two HIST courses numbered above HIST 250': []}
Human Nutrition Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/HEA-Human-Nutrition-Minor1.html,"{'1. Successful completion of 5.0 units with a minimum cumulative minor average of 60%, from the requirements listed:': [], '2. Required courses (2.0 units):': ['BIOL 373', 'KIN 146'], '3. One of KIN 217, CHEM 233, CHEM 237': ['KIN 343 or KIN 346\xa0(see Note 3)'], '4. Elective courses (3.0 units):\xa0BIOL 241, BIOL 345, HLTH 340, HLTH 355, HLTH 421, HLTH 449, HLTH 471, KIN 307, KIN 342, KIN 404, KIN 429, KIN 431, KIN 446; one of KIN 433, KIN 472, HLTH 472; KIN 343 or KIN 346; KIN 432 or HLTH 432B': []}"
Human Nutrition Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/HEA-Human-Nutrition-Minor1.html,"{'1. Required courses (2.0 units):': ['BIOL 373', 'KIN 146'], '2. One of KIN 217, CHEM 233, CHEM 237': ['KIN 343 or KIN 346 (see Note 3)'], '3. Elective courses (3.0 units):\xa0BIOL 241, BIOL 345, HLTH 340, HLTH 355, HLTH 421, HLTH 449, HLTH 471, KIN 307, KIN 342, KIN 404, KIN 429, KIN 431, KIN 446; one of KIN 433, KIN 472, HLTH 472; KIN 343 or KIN 346; KIN 432 or HLTH 432B': []}"
Human Resources Management Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Human-Resources-Management-Minor.html,"{'1.': 'one of AFM 102, AFM 123/ARBUS 102', '2.': 'HRM 200', '3.': 'two of PSYCH 238, PSYCH 339, PSYCH 340', '4.': 'three of HRM 301, HRM 303, HRM 305, HRM 307', '5. one course from the balance of the courses above or from the following courses:': ['HRM 400', 'PSYCH 439', 'PSYCH 467', 'one of MSCI 311, PACS 202']}"
Human Resources Management Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Human-Resources-Management-Minor.html,"{'1.': 'one of AFM 102, AFM 123/ARBUS 102', '2.': 'HRM 200', '3.': 'two of PSYCH 238, PSYCH 339, PSYCH 340', '4.': 'three of HRM 301, HRM 303, HRM 305, HRM 307', '5. one course from the balance of the courses above or from the following courses:': ['HRM 400', 'PSYCH 439', 'PSYCH 467', 'one of MSCI 311, PACS 202/LS 271']}"
Human Rights Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Human-Rights-Minor.html,"{'1.': 'HRTS 101, HRTS 201, HRTS 203, HRTS 204', '2. four courses from the following list of approved courses: CI 250,\xa0GSJ 102, GSJ 206/LS 201, HIST 221, HIST 271, HIST 314,\xa0HIST 321/LS 331, any additional HRTS courses,\xa0INDG 201/CDNST 201, PACS 318, PACS 324, PACS 325,\xa0PHIL 328/LS 352, PSCI 421/LS 464,\xa0PSCI 463/LS 463, SDS 210R/LS 273, SDS 449R, SPAN 400': []}"
Human Rights Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Human-Rights-Minor.html,"{'1.': 'HRTS 101, HRTS 201, HRTS 203, HRTS 204', '2. four courses from the following list of approved courses: CI 250,\xa0GSJ 102, GSJ 206/LS 201, HIST 221, HIST 271, HIST 314,\xa0HIST 321/LS 331, any additional HRTS courses,\xa0INDG 201/CDNST 201, PACS 318, PACS 324, PACS 325,\xa0PHIL 328/LS 352, PSCI 421/LS 464,\xa0PSCI 463/LS 463, SDS 210R/LS 273, SDS 449R, SPAN 400': []}"
Human Sciences Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Human-Sciences-Minor.html,"{'1.': 'HUMSC 101, HUMSC 102', '2.': 'one of HUMSC 201, HUMSC 301', '3.': 'one of HUMSC 401, PHIL\xa0326J', '4.': 'two of PHIL 100J, PHIL 118J, PHIL 120J, PHIL 204J, PHIL 210J, PHIL 218J', '5.': 'one of ITALST 291, ITALST 311, ITALST 312, ITALST 360', '6.': 'one of SOC 355J, SOC 369J'}"
Human Sciences Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Human-Sciences-Minor.html,"{'1.': 'HUMSC 101, HUMSC 102', '2.': 'one of HUMSC 201, HUMSC 301', '3.': 'one of HUMSC 401, PHIL\xa0326J', '4.': 'two of PHIL 100J, PHIL 118J, PHIL 120J, PHIL 204J, PHIL 210J, PHIL 218J', '5.': 'one of ITALST 291, ITALST 311, ITALST 312, ITALST 360', '6.': 'one of SOC 355J, SOC 369J'}"
Indigenous Entrepreneurship Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Indigenous-Entrepreneurship-Minor.html,"{'1.': 'INDENT 200, INDENT 210, INDENT 225, INDENT 310, INDENT 325', '2.': 'two of\xa0ENVS 401, ERS 372,\xa0HIST 269, HIST 271,\xa0INDG 201/CDNST 201, INDG 272/ANTH 272, INDG 301, INDG 318/RS 318', '3.': 'one of ECON 100, ECON 101, INDENT 320'}"
Indigenous Entrepreneurship Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Indigenous-Entrepreneurship-Minor.html,"{'1.': 'INDENT 200, INDENT 210, INDENT 225, INDENT 310, INDENT 325', '2.': 'two of\xa0ENVS 401, ERS 372,\xa0HIST 269, HIST 271,\xa0INDG 201/CDNST 201, INDG 272/ANTH 272, INDG 301, INDG 318/RS 318', '3.': 'one of ECON 100/COMM 103, ECON 101, INDENT 320'}"
Indigenous Studies Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Indigenous-Studies-Minor.html,"{'1.': 'INDG 201/CDNST 201, INDG 216/FINE 216, INDG 272/ANTH 272, INDG 301', '2. four courses from the following: any additional INDG courses, ANTH 233, ENGL 211/GSJ 211, HIST 269, HIST 271, HIST 380, PSCI 362, PSCI 462/LS 462, SDS 311R/SWREN 311R/LS 373': []}"
Indigenous Studies Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Indigenous-Studies-Minor.html,"{'1.': 'INDG 201/CDNST 201,\xa0INDG 272/ANTH 272, INDG 301', '2. five courses from the following: any additional INDG courses, ANTH 233, ENGL 211/GSJ 211, ENVS 401,\xa0HIST 269, HIST 271, HIST 380, PSCI 362, PSCI 462/LS 462, SDS 311R/SWREN 311R/LS 373, SDS 411R, SDS 421R': []}"
International Development Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENV-International-Development-Minor2.html,"{'1.': 'ERS 215, INDEV 100, INDEV 101,\xa0INDEV 200, INDEV 300, GEOG 101, GEOG 203', '2. One of: INDEV 302, INDEV 308': ['Community Service Experience Requirement: The International Development Minor requires the completion of a pre-approved community service experience or educational seminar focused on community development issues of at least three weeks duration in Canada or internationally.\xa0This requirement must be organized by the student with support and pre-approval from the manager of international work placements and is to be completed at the students own expense. Co-op work terms that meet the above description will normally fulfil this requirement.']}"
International Development Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENV-International-Development-Minor2.html,"{'1.': '4.0 units distributed as follows:', '2.': 'ERS 215', '3.': 'GEOG 101', '4.': 'GEOG 203', '5.': 'INDEV 100', '6.': 'INDEV 101', '7.': 'INDEV 200', '8.': 'INDEV 300', '9. One of:': ['INDEV 302', 'INDEV 308', 'Community Service Experience Requirement. (see additional condition)']}"
