majors,Courses
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Human-Computer-Interaction-Spec.html"">Human-Computer Interaction Specialization</a>","{'CS 349': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS349', 'CS 449': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS449', 'CS 492': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS492', 'CS 445': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS445', 'ECE 451': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE451', 'SE 463': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SE.html#SE463', 'CS 446': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS446', 'ECE 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE452', 'SE 464': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SE.html#SE464', 'CS 447': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS447', 'ECE 453': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE453', 'SE 465': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SE.html#SE465', 'CS 454': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS454', 'CS 458': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS458', 'CS 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS480', 'CS 485': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS485', 'CS 484': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS484', 'CS 488': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS488', 'ENGL 108D': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ENGL.html#ENGL108D', 'ENGL 293': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ENGL.html#ENGL293', 'ENGL 295': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ENGL.html#ENGL295', 'FINE 150': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE150', 'FINE 257': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE257', 'INTEG 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-INTEG.html#INTEG251', 'KIN 320': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-KIN.html#KIN320', 'PSYCH 207': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PSYCH.html#PSYCH207', 'PSYCH 261': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PSYCH.html#PSYCH261', 'STAT 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT332', 'STAT 430': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT430'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Software-Engineering-Spec.html"">Software Engineering Specialization</a>","{'CS 445': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS445', 'ECE 451': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE451', 'CS 446': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS446', 'ECE 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE452', 'CS 447': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS447', 'ECE 453': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE453', 'CS 492': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS492', 'CS 343': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS343', 'CS 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS348', 'CS 349': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS349', 'CS 442': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS442', 'CS 444': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS444', 'CS 448': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS448', 'CS 449': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS449', 'CS 450': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS450', 'CS 451': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS451', 'CS 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS452', 'CS 454': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS454', 'CS 456': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS456', 'CS 457': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS457', 'CS 458': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS458', 'CS 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS480', 'CS 484': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS484', 'CS 486': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS486', 'CS 488': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS488'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Pure-Mathematics1.html"">Pure Mathematics </a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'PMATH 347': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH347', 'PMATH 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH348', 'PMATH 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH351', 'PMATH 352': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH352', 'PMATH 365': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH365', 'PMATH 450': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH450'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Joint-Pure-Mathematics1.html"">Joint Pure Mathematics</a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'AMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH331', 'PMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH331', 'PMATH 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH333', 'PMATH 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH351', 'AMATH 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH332', 'PMATH 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH332', 'PMATH 352': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH352', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'PMATH 334': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH334', 'PMATH 336': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH336', 'PMATH 347': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH347', 'PMATH 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH348'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Statistics1.html"">Statistics</a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'ENGL 378': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ENGL.html#ENGL378', 'MTHEL 300': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MTHEL.html#MTHEL300', 'STAT 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT330', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT332', 'STAT 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT333', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'AMATH 231': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH231', 'AMATH 242': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH242', 'CS 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS371', 'AMATH 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH250', 'AMATH 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH251', 'AMATH 350': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH350', 'CS 457': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS457', 'CS 485': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS485', 'CS 486': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS486', 'STAT 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT371', 'STAT 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT372', 'STAT 334': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT334', 'STAT 373': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT373'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Joint-Statistics1.html"">Joint Statistics</a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'ENGL 378': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ENGL.html#ENGL378', 'MTHEL 300': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MTHEL.html#MTHEL300', 'STAT 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT330', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT333', 'STAT 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT371', 'STAT 373': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT373'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Biostatistics1.html"">Biostatistics</a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'ENGL 378': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ENGL.html#ENGL378', 'MTHEL 300': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MTHEL.html#MTHEL300', 'STAT 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT330', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT332', 'STAT 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT333', 'STAT 337': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT337', 'STAT 431': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT431', 'STAT 437': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT437', 'STAT 438': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT438', 'AMATH 231': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH231', 'AMATH 242': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH242', 'CS 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS371', 'AMATH 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH250', 'AMATH 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH251', 'AMATH 350': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH350', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'BIOL 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL239', 'HLTH 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-HLTH.html#HLTH101', 'STAT 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT371', 'STAT 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT372', 'STAT 334': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT334', 'STAT 373': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT373'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Data-Science1.html"">Data Science</a>","{'CS 136': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS136', 'CS 146': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS146', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'CS 136L': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS136L', 'CS 240': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS240', 'CS 241': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS241', 'CS 245': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS245', 'CS 246': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS246', 'CS 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS251', 'CS 341': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS341', 'CS 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS348', 'STAT 341': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT341', 'CS 431': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS431', 'CS 451': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS451', 'CS 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS480', 'CS 485': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS485', 'CS 486': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS486', 'STAT 441': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT441', 'STAT 431': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT431', 'STAT 440': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT440', 'STAT 442': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT442', 'STAT 443': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT443', 'STAT 444': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT444'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Actuarial-Science-Mathematical-Finance1.html"">Mathematical Finance</a>","{'AFM 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM101', 'AFM 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM102', 'AFM 131': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM131', 'ARBUS 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ARBUS.html#ARBUS101', 'ACTSC 231': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC231', 'ACTSC 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC372', 'ACTSC 445': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC445', 'ACTSC 446': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC446', 'AMATH 242': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH242', 'CS 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS371', 'CS 335': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS335', 'AMATH 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH250', 'AMATH 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH251', 'AMATH 350': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH350', 'ECON 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON101', 'ECON 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON102', 'ECON 201': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON201', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'PMATH 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH333', 'PMATH 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH351', 'PMATH 450': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH450', 'PMATH 451': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH451', 'STAT 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT330', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT333', 'STAT 443': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT443', 'AMATH 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH351', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'PMATH 352': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH352', 'AMATH 353': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH353', 'CO 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO372', 'CS 476': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS476', 'PMATH 453': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH453', 'STAT 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT371'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Information-Techn-Mgt-Degree-Requirements.html"">Information Technology Management</a>","{'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'AFM 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM101', 'AFM 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM102', 'MGMT 244': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MGMT.html#MGMT244', 'ARBUS 302': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ARBUS.html#ARBUS302', 'COMM 231': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-COMM.html#COMM231', 'COMM 431': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-COMM.html#COMM431', 'COMM 432': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-COMM.html#COMM432', 'CS 230': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS230', 'CS 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS330', 'CS 338': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS338', 'CS 430': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS430', 'CS 436': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS436', 'ECON 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON101', 'ECON 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON102', 'MATBUS 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATBUS.html#MATBUS371', 'MSCI 211': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI211', 'MSCI 311': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI311', 'STAT 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT371', 'STAT 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT372', 'STV 202': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STV.html#STV202'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Mathematical-Economics-Degree-Requirements.html"">Mathematical Economics</a>","{'ECON 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON101', 'ECON 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON102', 'ECON 290': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON290', 'ECON 306': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON306', 'ECON 391': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON391', 'ECON 393': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON393', 'ECON 472': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON472', 'ECON 491': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON491', 'ECON 496': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON496', 'ECON 406': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON406', 'ECON 407': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON407', 'ECON 408': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON408', 'ECON 409': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON409', 'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'AMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH331', 'PMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH331', 'AMATH 350': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH350', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 443': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT443', 'ACTSC 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC372', 'ECON 421': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON421', 'ECON 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON371'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Mathematics-or-Business-Administration.html"">Mathematics/Business Administration</a>",{}
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Math-or-Chartered-Professional-Accountancy-co.html"">Mathematics/Chartered Professional Accountancy</a>","{'AFM 111': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM111', 'AFM 182': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM182', 'AFM 191': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM191', 'COMM 103': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-COMM.html#COMM103', 'ECON 100': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON100', 'ECON 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON101', 'ECON 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON102', 'CS 115': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS115', 'CS 135': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS135', 'CS 145': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS145', 'MATH 135': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH135', 'MATH 145': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH145', 'MATH 136': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH136', 'MATH 146': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH146', 'MATH 127': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH127', 'MATH 137': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH137', 'MATH 147': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH147', 'MATH 128': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH128', 'MATH 138': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH138', 'MATH 148': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH148', 'SPCOM 111': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SPCOM.html#SPCOM111'}"
